stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
18,18,"Fairview at Maple",,  43.329154, -79.821089,,,0,,1
180,180,"Rexway Dr at Woodview",,  43.352217, -79.778849,,,0,,1
181,181,"North Service at Guelph",,  43.352823, -79.805577,,,0,,1
182,182,"Harvester at South Service",,  43.352693, -79.798454,,,0,,1
184,184,"New at Walkers",,  43.353255, -79.769286,,,0,,1
185,185,"New at Walkers",,  43.352571, -79.769615,,,0,,1
186,186,"Guelph at North Service",,  43.352994, -79.804988,,,0,,1
189,189,"Rexway Dr at Rexway Crt",,  43.353195, -79.777339,,,0,,1
190,190,"Walkers at New",,  43.353383, -79.770086,,,0,,1
191,191,"3155 Harvester",,  43.353721, -79.796821,,,0,,1
192,192,"3155 Harvester",,  43.353874, -79.796927,,,0,,1
193,193,"Walkers at New",,  43.353584, -79.770720,,,0,,1
194,194,"Rexway Dr at Thornwood",,  43.353879, -79.776576,,,0,,1
195,195,"Mount Forest at Fisher",,  43.354316, -79.819338,,,0,,1
196,196,"New at Longmoor",,  43.354711, -79.767318,,,0,,1
197,197,"Mount Forest at Fisher",,  43.354512, -79.818819,,,0,,1
198,198,"New at Longmoor",,  43.354810, -79.767477,,,0,,1
199,199,"Brant at Dawlish",,  43.355076, -79.840855,,,0,,1
2,2,"Lakeshore at Old Lakeshore",,  43.327041, -79.790481,,,0,,1
20,20,"Lakeshore at Seneca",,  43.330521, -79.783670,,,0,,1
200,200,"Brant at Havendale",,  43.355336, -79.841633,,,0,,1
201,201,"Walkers at Centennial Trail",,  43.354497, -79.771967,,,0,,1
203,203,"Walkers at Centennial Trail",,  43.354625, -79.771774,,,0,,1
204,204,"Guelph at Mountainside",,  43.355061, -79.808550,,,0,,1
205,205,"Fairview at Woodview",,  43.355055, -79.784605,,,0,,1
206,206,"Fairview at Woodview",,  43.355382, -79.783833,,,0,,1
207,207,"Guelph at Davidson",,  43.355752, -79.808881,,,0,,1
208,208,"Brant at Upper Middle",,  43.356245, -79.842472,,,0,,1
209,209,"Rexway Dr at Walkers",,  43.355726, -79.774028,,,0,,1
21,21,"Lakeshore at Delaware",,  43.330795, -79.783387,,,0,,1
210,210,"Fisher Ave at St Mary's",,  43.356040, -79.820693,,,0,,1
211,211,"Fisher Ave at St Mary's",,  43.356130, -79.820595,,,0,,1
212,212,"Rexway Dr at Walkers",,  43.355712, -79.773756,,,0,,1
214,214,"Longmoor at Stephanie",,  43.355712, -79.768631,,,0,,1
215,215,"Longmoor at Stephanie",,  43.356006, -79.768792,,,0,,1
216,216,"Teen Tour Way at Drury",,  43.334786, -79.793125,,,0,,1
217,217,"Harvester at Cumberland",,  43.356691, -79.793034,,,0,,1
218,218,"Brant at Upper Middle",,  43.356943, -79.843939,,,0,,1
219,219,"3167 North Service",,  43.356746, -79.799177,,,0,,1
220,220,"Guelph at Mainway",,  43.357041, -79.811264,,,0,,1
221,221,"2211 Brant",,  43.357526, -79.844301,,,0,,1
222,222,"Fairview at Commerce",,  43.356825, -79.782338,,,0,,1
223,223,"Mainway at Guelph",,  43.357292, -79.810217,,,0,,1
224,224,"4100 Longmoor",,  43.356905, -79.770025,,,0,,1
225,225,"New at Belvenia",,  43.356890, -79.764912,,,0,,1
226,226,"Harvester at Cumberland",,  43.357234, -79.792653,,,0,,1
227,227,"New at Belvenia",,  43.356726, -79.765448,,,0,,1
228,228,"Guelph at Mainway",,  43.357588, -79.811468,,,0,,1
229,229,"Fisher Ave at Parkway",,  43.357707, -79.822967,,,0,,1
23,23,"Lakeshore at Green",,  43.331410, -79.781791,,,0,,1
230,230,"Mainway at Guelph",,  43.357980, -79.809788,,,0,,1
231,231,"Fisher Ave at Fisher Pl",,  43.358135, -79.825484,,,0,,1
232,232,"3455 Fairview",,  43.357688, -79.782001,,,0,,1
233,233,"3332 Harvester",,  43.358555, -79.790965,,,0,,1
234,234,"3332 Harvester",,  43.358574, -79.790632,,,0,,1
235,235,"3500 Fairview",,  43.358460, -79.780868,,,0,,1
236,236,"Brant at Cottontree",,  43.359321, -79.847199,,,0,,1
237,237,"3100 Mainway",,  43.358896, -79.808575,,,0,,1
238,238,"Upper Middle at Cavendish",,  43.359096, -79.834457,,,0,,1
239,239,"Upper Middle at Mountain Grove",,  43.359151, -79.828597,,,0,,1
24,24,"Lakeshore at Green",,  43.331527, -79.781817,,,0,,1
240,240,"422 Guelph Line",,  43.337870, -79.784856,,,0,,1
241,241,"Brant at Barlow",,  43.359661, -79.847325,,,0,,1
242,242,"3097 Mainway",,  43.359054, -79.808674,,,0,,1
243,243,"Longmoor at Clare",,  43.358665, -79.771512,,,0,,1
244,244,"Guelph at Centennial",,  43.359144, -79.813562,,,0,,1
245,245,"Guelph at Centennial",,  43.359219, -79.814117,,,0,,1
246,246,"Longmoor at Clare",,  43.358777, -79.771371,,,0,,1
247,247,"Upper Middle at Cavendish",,  43.359596, -79.836349,,,0,,1
248,248,"Upper Middle at Mountain Grove",,  43.359554, -79.828173,,,0,,1
249,249,"3255 North Service",,  43.359407, -79.796218,,,0,,1
25,25,"New at Lorne",,  43.331538, -79.792851,,,0,,1
250,250,"Cavendish at Upper Middle",,  43.359995, -79.836499,,,0,,1
251,251,"Fisher Ave at Augustine",,  43.359842, -79.825493,,,0,,1
252,252,"New at Shoreacres",,  43.359599, -79.761878,,,0,,1
253,253,"Harvester at Harrington",,  43.359898, -79.788324,,,0,,1
254,254,"Harvester at Harrington",,  43.359723, -79.789010,,,0,,1
256,256,"Fairview at Walkers",,  43.359596, -79.779615,,,0,,1
257,257,"Augustine at Fisher",,  43.360078, -79.825663,,,0,,1
258,258,"Cavendish at Pauline",,  43.360347, -79.836147,,,0,,1
259,259,"New at Shoreacres",,  43.359689, -79.762138,,,0,,1
260,260,"Upper Middle at Augustine",,  43.360750, -79.826372,,,0,,1
262,262,"Longmoor at Belvenia",,  43.360047, -79.771414,,,0,,1
263,263,"Upper Middle at Augustine",,  43.360819, -79.826594,,,0,,1
264,264,"3450 Harvester",,  43.360441, -79.787318,,,0,,1
265,265,"Brant at Greenbank",,  43.361472, -79.849754,,,0,,1
266,266,"Fairview at Walkers",,  43.360480, -79.778965,,,0,,1
268,268,"Harvester at South Service",,  43.360410, -79.787763,,,0,,1
269,269,"Brant at Hazelton",,  43.361649, -79.850377,,,0,,1
27,27,"New at Bridgman",,  43.332303, -79.791782,,,0,,1
270,270,"Longmoor at Flemish",,  43.360822, -79.771612,,,0,,1
271,271,"Cavendish at Longshire",,  43.361504, -79.835100,,,0,,1
272,272,"Guelph at Palmer",,  43.361365, -79.817052,,,0,,1
274,274,"Mainway at Northside",,  43.361038, -79.806411,,,0,,1
275,275,"Cavendish at Longshire",,  43.361760, -79.835023,,,0,,1
276,276,"Guelph at Palmer",,  43.361588, -79.816955,,,0,,1
278,278,"Mainway at Northside",,  43.361693, -79.805944,,,0,,1
279,279,"3486 Harvester",,  43.361805, -79.784796,,,0,,1
28,28,"Lakeshore at Market",,  43.332403, -79.779958,,,0,,1
281,281,"3485 Harvester",,  43.361705, -79.785352,,,0,,1
282,282,"New at Wilson",,  43.362351, -79.759232,,,0,,1
283,283,"Longmoor at Auburn",,  43.362195, -79.771657,,,0,,1
284,284,"New at Wilson",,  43.362231, -79.759030,,,0,,1
285,285,"Guelph at St Frances",,  43.362971, -79.818861,,,0,,1
286,286,"Cavendish at Brant",,  43.363510, -79.852339,,,0,,1
287,287,"Guelph at St Frances",,  43.363014, -79.819321,,,0,,1
288,288,"3375 North Service",,  43.362795, -79.792502,,,0,,1
289,289,"Harvester at Walkers",,  43.362700, -79.783445,,,0,,1
29,29,"Lakeshore at St Paul",,  43.332429, -79.779601,,,0,,1
290,290,"Walkers at Harvester",,  43.362772, -79.782765,,,0,,1
291,291,"3375 North Service",,  43.362909, -79.792545,,,0,,1
292,292,"Cavendish at Greenbank",,  43.363661, -79.851960,,,0,,1
293,293,"Longmoor at Greg",,  43.362704, -79.771360,,,0,,1
295,295,"4104 Fairview",,  43.362832, -79.776229,,,0,,1
296,296,"Walkers at Harvester",,  43.362636, -79.783130,,,0,,1
297,297,"4127 Fairview",,  43.363088, -79.776264,,,0,,1
298,298,"Upper Middle at MM Robinson H.s.",,  43.363619, -79.823158,,,0,,1
299,299,"Guelph at Upper Middle",,  43.363651, -79.820529,,,0,,1
3,3,"Lakeshore at Torrance",,  43.327341, -79.790276,,,0,,1
30,30,"Brant at Ghent",,  43.332838, -79.808527,,,0,,1
300,300,"Cavendish at Greenbank",,  43.364406, -79.851632,,,0,,1
301,301,"Harvester at Walkers",,  43.363777, -79.782482,,,0,,1
302,302,"Guelph at Upper Middle",,  43.363697, -79.820010,,,0,,1
304,304,"Cavendish at Millway",,  43.364287, -79.833728,,,0,,1
305,305,"915 Walkers",,  43.363841, -79.784223,,,0,,1
306,306,"Upper Middle at Guelph",,  43.364243, -79.822885,,,0,,1
307,307,"Mainway at Pioneer",,  43.364105, -79.803286,,,0,,1
309,309,"Cavendish at Millway",,  43.364452, -79.833901,,,0,,1
31,31,"Brant at Ghent",,  43.333061, -79.808369,,,0,,1
310,310,"Mainway at Pioneer",,  43.364265, -79.803373,,,0,,1
313,313,"950 Walkers",,  43.364138, -79.785148,,,0,,1
314,314,"Longmoor at Catalina",,  43.364394, -79.770529,,,0,,1
315,315,"New at Shannon",,  43.364321, -79.757046,,,0,,1
317,317,"New at Shannon",,  43.364346, -79.756708,,,0,,1
318,318,"2627 Cavendish",,  43.365936, -79.850014,,,0,,1
319,319,"4200 Fairview",,  43.364903, -79.773543,,,0,,1
32,32,"New at Drury",,  43.333278, -79.791003,,,0,,1
321,321,"Harvester at Fraser",,  43.365238, -79.780359,,,0,,1
323,323,"Harvester at Fraser",,  43.365028, -79.781013,,,0,,1
324,324,"4205 Fairview",,  43.365277, -79.773366,,,0,,1
325,325,"Appleby at Cottonwood",,  43.365040, -79.750869,,,0,,1
326,326,"2025 Upper Middle",,  43.365882, -79.820262,,,0,,1
327,327,"Longmoor at Laural",,  43.365459, -79.768887,,,0,,1
328,328,"Longmoor at Laural",,  43.365697, -79.768799,,,0,,1
329,329,"Longmoor at Tipperary",,  43.365621, -79.761326,,,0,,1
33,33,"Guelph at Lakeshore",,  43.333324, -79.778627,,,0,,1
332,332,"Cavendish at Devlin",,  43.366519, -79.835441,,,0,,1
333,333,"Appleby at Fern",,  43.365717, -79.751495,,,0,,1
334,334,"Cavendish at Devlin",,  43.366651, -79.835705,,,0,,1
335,335,"Cavendish at Plymouth",,  43.366960, -79.848258,,,0,,1
338,338,"Longmoor at Bennett",,  43.366076, -79.763502,,,0,,1
339,339,"Longmoor at Bennett",,  43.366129, -79.763978,,,0,,1
34,34,"Guelph at First",,  43.334014, -79.779245,,,0,,1
340,340,"Longmoor at Galway",,  43.366216, -79.759498,,,0,,1
343,343,"Cavendish at Duncaster",,  43.367754, -79.846385,,,0,,1
344,344,"Longmoor at Inverary",,  43.366649, -79.766709,,,0,,1
345,345,"Mainway at Blair",,  43.367029, -79.800305,,,0,,1
347,347,"Harvester at Morris",,  43.366583, -79.778972,,,0,,1
348,348,"Fairview at Garibaldi",,  43.367299, -79.770278,,,0,,1
350,350,"Longmoor at Inverary",,  43.366724, -79.766881,,,0,,1
351,351,"Fairview at Darlene",,  43.367374, -79.770549,,,0,,1
354,354,"Harvester at Morris",,  43.367538, -79.778258,,,0,,1
355,355,"Appleby at New",,  43.366959, -79.753099,,,0,,1
356,356,"Headon at Lansdown",,  43.367792, -79.804686,,,0,,1
357,357,"Longmoor at Chamberlain",,  43.367375, -79.758209,,,0,,1
358,358,"Cavendish at Amblecote",,  43.368440, -79.845782,,,0,,1
359,359,"Headon at Lansdown",,  43.367978, -79.804728,,,0,,1
