shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10013,43.424718,-80.525706,400004
10013,43.424390,-80.525483,400005
10013,43.424084,-80.525290,400006
10013,43.423536,-80.524708,400007
10013,43.423120,-80.524247,400008
10013,43.422952,-80.524018,400009
10013,43.422816,-80.523751,400010
10013,43.422715,-80.523456,400011
10013,43.422652,-80.523142,400012
10013,43.422652,-80.522709,400013
10013,43.422652,-80.522709,410001
10013,43.422652,-80.521948,410002
10013,43.422589,-80.521536,410003
10013,43.422508,-80.521372,410004
10013,43.422191,-80.520962,410005
10013,43.421932,-80.521414,410006
10013,43.421807,-80.521791,410007
10013,43.421609,-80.522357,410008
10013,43.421609,-80.522357,420001
10013,43.421451,-80.522806,420002
10013,43.421103,-80.523785,420003
10013,43.420748,-80.524795,420004
10013,43.420534,-80.525384,420005
10013,43.420534,-80.525384,430001
10013,43.420017,-80.526805,430002
10013,43.419767,-80.527521,430003
10013,43.419554,-80.528121,430004
10013,43.419491,-80.528471,430005
10013,43.419503,-80.528714,430006
10013,43.419503,-80.528714,440001
10013,43.419514,-80.528949,440002
10013,43.419661,-80.529343,440003
10013,43.419865,-80.529701,440004
10013,43.419697,-80.529911,440005
10013,43.419558,-80.530159,440006
10013,43.419453,-80.530436,440007
10013,43.419373,-80.530858,440008
10013,43.419208,-80.532735,440009
10013,43.419122,-80.533127,440010
10013,43.418847,-80.533890,440011
10013,43.418494,-80.534897,440012
10013,43.418414,-80.535355,440013
10013,43.418414,-80.535355,450001
10013,43.418394,-80.535466,450002
10013,43.418376,-80.536052,450003
10013,43.418426,-80.536545,450004
10013,43.418481,-80.536790,450005
10013,43.418634,-80.537254,450006
10013,43.418974,-80.537994,450007
10013,43.419368,-80.538821,450008
10013,43.419128,-80.539033,450009
10013,43.419128,-80.539033,460001
10013,43.418533,-80.539557,460002
10013,43.418057,-80.539995,460003
10013,43.417701,-80.540294,460004
10013,43.417403,-80.540568,460005
10013,43.417029,-80.540903,460006
10013,43.416860,-80.541033,460007
10013,43.416860,-80.541033,470001
10013,43.416799,-80.541079,470002
10013,43.416606,-80.541175,470003
