fare_id,price,currency_type,payment_method,transfers,agency_id
100-47,24.50,CAD,1,,GO
46-100,27.75,CAD,1,,GO
100-46,27.75,CAD,1,,GO
45-100,26.50,CAD,1,,GO
100-45,26.50,CAD,1,,GO
44-100,26.25,CAD,1,,GO
100-44,26.25,CAD,1,,GO
43-100,28.00,CAD,1,,GO
100-43,28.00,CAD,1,,GO
42-100,27.75,CAD,1,,GO
100-42,27.75,CAD,1,,GO
41-100,27.00,CAD,1,,GO
100-41,27.00,CAD,1,,GO
40-100,17.75,CAD,1,,GO
100-40,17.75,CAD,1,,GO
39-100,16.50,CAD,1,,GO
100-39,16.50,CAD,1,,GO
38-100,28.50,CAD,1,,GO
100-38,28.50,CAD,1,,GO
37-100,27.50,CAD,1,,GO
100-37,27.50,CAD,1,,GO
35-100,26.00,CAD,1,,GO
100-35,26.00,CAD,1,,GO
34-100,25.50,CAD,1,,GO
100-34,25.50,CAD,1,,GO
33-100,20.75,CAD,1,,GO
100-33,20.75,CAD,1,,GO
32-100,20.00,CAD,1,,GO
100-32,20.00,CAD,1,,GO
31-100,20.00,CAD,1,,GO
100-31,20.00,CAD,1,,GO
30-100,34.25,CAD,1,,GO
100-30,34.25,CAD,1,,GO
29-100,31.50,CAD,1,,GO
100-29,31.50,CAD,1,,GO
28-100,29.25,CAD,1,,GO
100-28,29.25,CAD,1,,GO
27-100,19.00,CAD,1,,GO
100-27,19.00,CAD,1,,GO
26-100,23.00,CAD,1,,GO
100-26,23.00,CAD,1,,GO
25-100,19.25,CAD,1,,GO
100-25,19.25,CAD,1,,GO
24-100,17.50,CAD,1,,GO
100-24,17.50,CAD,1,,GO
23-100,20.00,CAD,1,,GO
100-23,20.00,CAD,1,,GO
22-100,20.50,CAD,1,,GO
100-22,20.50,CAD,1,,GO
21-100,17.25,CAD,1,,GO
100-21,17.25,CAD,1,,GO
20-100,18.25,CAD,1,,GO
100-20,18.25,CAD,1,,GO
19-100,22.00,CAD,1,,GO
100-19,22.00,CAD,1,,GO
18-100,13.25,CAD,1,,GO
100-18,13.25,CAD,1,,GO
17-100,13.50,CAD,1,,GO
100-17,13.50,CAD,1,,GO
16-100,13.75,CAD,1,,GO
100-16,13.75,CAD,1,,GO
15-100,14.00,CAD,1,,GO
100-15,14.00,CAD,1,,GO
14-100,14.50,CAD,1,,GO
100-14,14.50,CAD,1,,GO
13-100,15.00,CAD,1,,GO
100-13,15.00,CAD,1,,GO
12-100,16.00,CAD,1,,GO
100-12,16.00,CAD,1,,GO
11-100,18.25,CAD,1,,GO
100-11,18.25,CAD,1,,GO
98-98,4.40,CAD,1,,GO
98-97,17.85,CAD,1,,GO
97-98,17.85,CAD,1,,GO
97-97,4.40,CAD,1,,GO
98-96,16.85,CAD,1,,GO
96-98,16.85,CAD,1,,GO
97-96,4.40,CAD,1,,GO
96-97,4.40,CAD,1,,GO
96-96,4.40,CAD,1,,GO
98-95,16.30,CAD,1,,GO
95-98,16.30,CAD,1,,GO
97-95,6.65,CAD,1,,GO
95-97,6.65,CAD,1,,GO
96-95,4.40,CAD,1,,GO
95-96,4.40,CAD,1,,GO
95-95,4.40,CAD,1,,GO
98-94,17.50,CAD,1,,GO
94-98,17.50,CAD,1,,GO
97-94,7.55,CAD,1,,GO
94-97,7.55,CAD,1,,GO
96-94,6.85,CAD,1,,GO
94-96,6.85,CAD,1,,GO
95-94,4.40,CAD,1,,GO
94-95,4.40,CAD,1,,GO
94-94,4.40,CAD,1,,GO
98-93,17.35,CAD,1,,GO
93-98,17.35,CAD,1,,GO
97-93,9.00,CAD,1,,GO
93-97,9.00,CAD,1,,GO
96-93,7.60,CAD,1,,GO
93-96,7.60,CAD,1,,GO
95-93,5.50,CAD,1,,GO
93-95,5.50,CAD,1,,GO
94-93,4.40,CAD,1,,GO
93-94,4.40,CAD,1,,GO
93-93,4.40,CAD,1,,GO
98-92,15.75,CAD,1,,GO
92-98,15.75,CAD,1,,GO
97-92,9.60,CAD,1,,GO
92-97,9.60,CAD,1,,GO
96-92,8.75,CAD,1,,GO
92-96,8.75,CAD,1,,GO
95-92,7.75,CAD,1,,GO
92-95,7.75,CAD,1,,GO
94-92,5.30,CAD,1,,GO
92-94,5.30,CAD,1,,GO
93-92,4.40,CAD,1,,GO
92-93,4.40,CAD,1,,GO
92-92,4.40,CAD,1,,GO
98-91,15.45,CAD,1,,GO
91-98,15.45,CAD,1,,GO
97-91,10.90,CAD,1,,GO
91-97,10.90,CAD,1,,GO
96-91,9.55,CAD,1,,GO
91-96,9.55,CAD,1,,GO
95-91,9.10,CAD,1,,GO
91-95,9.10,CAD,1,,GO
94-91,5.90,CAD,1,,GO
91-94,5.90,CAD,1,,GO
93-91,5.10,CAD,1,,GO
91-93,5.10,CAD,1,,GO
92-91,4.40,CAD,1,,GO
91-92,4.40,CAD,1,,GO
91-91,4.40,CAD,1,,GO
98-90,14.75,CAD,1,,GO
90-98,14.75,CAD,1,,GO
97-90,12.05,CAD,1,,GO
90-97,12.05,CAD,1,,GO
96-90,11.25,CAD,1,,GO
90-96,11.25,CAD,1,,GO
95-90,10.30,CAD,1,,GO
90-95,10.30,CAD,1,,GO
94-90,9.55,CAD,1,,GO
90-94,9.55,CAD,1,,GO
93-90,6.65,CAD,1,,GO
90-93,6.65,CAD,1,,GO
92-90,4.90,CAD,1,,GO
90-92,4.90,CAD,1,,GO
91-90,4.40,CAD,1,,GO
90-91,4.40,CAD,1,,GO
