stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
00422,King / Albert,44.22255,-76.49975,0
00421,King / Beverley,44.22225,-76.50203,0
S00411,The Isabel/Tett Centres,44.2216,-76.50694,0
00414,King / Alwington,44.22139,-76.51031,0
S00444,Queen's West Campus,44.22335,-76.51396,0
00456,Union / Yonge,44.22203,-76.51803,0
00055,Union / Mowat,44.22109,-76.51978,0
00458,King / McDonald,44.22065,-76.52246,0
00459,King / Portsmouth,44.22055,-76.52471,0
00460,Portsmouth / Baiden,44.22158,-76.52514,0
00464,Portsmouth / Calderwood,44.2244,-76.52542,0
00465,Southeast Public Health,44.227,-76.52569,0
00505,Polson Park,44.23486,-76.52955,0
02067,Robert Wallace / Queen Mary,44.23449,-76.53305,0
02066,211 Queen Mary Rd.,44.23595,-76.53485,0
02064,Queen Mary / Notch Hill,44.23726,-76.53553,0
02062,Bath / Grenville,44.23887,-76.53349,0
02061,Bath / Portsmouth,44.23918,-76.53035,0
02060,290 Bath Rd.,44.23969,-76.52594,0
02008,Lafleur Park,44.23998,-76.52333,0
00521,King / Country Club,44.22032,-76.52983,0
S00524,INVISTA,44.21899,-76.55979,0
00535,Front / Sunny Acres,44.21875,-76.56467,0
00536,Front / Bishop,44.2186,-76.56712,0
09043,Reddendale Plaza,44.21842,-76.57048,0
00555,McEwen / Acron,44.23163,-76.57391,0
00557,McEwen / Castell,44.23541,-76.57427,0
S02074,Gardiners Centre,44.23613,-76.56781,0
00612,Gardiners / Development,44.24164,-76.56761,0
00614,660 Progress Av.,44.24668,-76.56929,0
00607,740 Progress Av.,44.24719,-76.57412,0
00039,Progress / Taylor-Kidd,44.24791,-76.57802,0
00692,Taylor-Kidd / Milford,44.24808,-76.58078,0
00632,Taylor-Kidd / Pembridge,44.24921,-76.58535,0
S02003,Bayridge / Taylor-Kidd,44.25076,-76.58933,0
09057,Princess / Bayridge,44.25925,-76.58129,0
00740,2697 Princess St.,44.2586,-76.57696,0
00741,2698 Princess St.,44.25882,-76.57651,0
00739,Princess / Bayridge,44.25943,-76.581,0
S00090,Bayridge / Old Colony,44.25535,-76.58682,0
09054,Taylor-Kidd / Bayridge,44.25009,-76.58895,0
02002,Taylor-Kidd / Pembridge,44.249,-76.5854,0
00100,Taylor-Kidd / Milford,44.24787,-76.58076,0
00040,775 Progress Av.,44.24758,-76.57783,0
00606,745 Progress Av.,44.24712,-76.57452,0
00615,Progress / Gardiners,44.24654,-76.5684,0
09208,Gardiners / RioCan Centre,44.24433,-76.56808,0
09228,Gardiners / Development,44.242,-76.56793,0
S02075,Gardiners Centre,44.23581,-76.568,0
00558,McEwen / Bath,44.23699,-76.5746,0
00556,McEwen / Castell,44.2356,-76.57446,0
00554,McEwen / Acron,44.23137,-76.57403,0
S09037,Centre 70 Park and Ride,44.21891,-76.56943,0
00537,Front / Bishop,44.21842,-76.56733,0
00534,Front / Sunny Acres,44.21853,-76.56521,0
S00033,INVISTA,44.21885,-76.55931,0
02072,1000 King St. W.,44.21986,-76.53522,0
00520,Lake Ontario Park,44.22008,-76.53028,0
09053,Taylor-Kidd / Bayridge,44.25074,-76.59046,0
09004,Taylor-Kidd / Mona,44.25177,-76.6013,0
09005,Collins Bay / Aylmer,44.24975,-76.61079,0
09006,Collins Bay / Edwin,44.24684,-76.61052,0
09049,Collins Bay / Bath,44.24171,-76.6101,0
00008,Bath / Station,44.23999,-76.61316,0
00019,Bath / Sycamore,44.23601,-76.62092,0
00021,Bath / Homeward,44.2318,-76.62519,0
00023,Bath / Maple Ridge,44.22805,-76.62752,0
00025,Bath / Coronation,44.22507,-76.62917,0
00793,The Moorings,44.22141,-76.63458,0
S00794,Fairfield / Loyalist,44.22142,-76.63692,0
00795,Loyalist / Addington,44.22314,-76.63584,0
00796,Loyalist / Henry,44.22565,-76.63587,0
00765,Amherst / Fairfield,44.22628,-76.63909,0
00766,Amherst / Upper Park,44.22618,-76.64256,0
00767,Amherst / Pittsfield,44.227,-76.6461,0
00768,Manitou / Amherst,44.22723,-76.65121,0
00774,Manitou / Briscoe,44.22108,-76.64969,0
00775,Loyalist Plaza,44.21945,-76.64555,0
00776,Manitou / Sherwood,44.22001,-76.64342,0
00873,Sherwood / Briscoe,44.22275,-76.64465,0
09061,Manitou / Amherst,44.22723,-76.6511,0
02019,Helen Henderson Centre,44.22607,-76.65957,0
00866,Pratt / Amherst,44.22183,-76.66738,0
00871,Pratt / Kildare,44.21987,-76.66585,0
00872,Pratt / Amherst,44.22194,-76.66725,0
00787,Amherst / Pittsfield,44.22698,-76.64666,0
00788,Amherst / Upper Park,44.22599,-76.64246,0
00789,Amherst / Fairfield,44.22606,-76.63933,0
00790,Loyalist / Henry,44.22595,-76.63616,0
00791,Loyalist / Addington,44.22314,-76.63604,0
S00792,Fairfield / Loyalist,44.22136,-76.63707,0
00777,The Moorings,44.22146,-76.63355,0
00024,Bath / Coronation,44.22495,-76.62897,0
00069,Bath / Maple Ridge,44.22813,-76.62722,0
00022,Bath / Homeward,44.2315,-76.62515,0
00020,Bath / Lower,44.23559,-76.62122,0
09048,Collins Bay / Bath,44.24184,-76.60993,0
09001,Collins Bay / Prince Charles,44.24681,-76.61035,0
09002,Collins Bay / Taylor-Kidd,44.24991,-76.61057,0
09003,Taylor-Kidd / Mona,44.25155,-76.60124,0
00671,Taylor-Kidd / Sexton,44.25097,-76.59255,0
00539,Crystal Springs,44.2183,-76.57232,0
00685,Chelsea / Cranbrook,44.21927,-76.57406,0
00809,172 Glen Castle Rd.,44.2207,-76.57741,0
00810,Glen Castle / Camberley,44.22245,-76.57758,0
00542,234 Glen Castle Rd.,44.22346,-76.5783,0
00687,Glen Castle / Chelsea,44.22591,-76.57922,0
00569,Glen Castle / Henderson,44.22796,-76.57942,0
00565,420 Glen Castle Rd.,44.23165,-76.57918,0
00563,Knightsbridge / Roosevelt,44.23345,-76.57859,0
00564,Roosevelt / Vista,44.23441,-76.58371,0
00571,672 Roosevelt Dr.,44.23182,-76.58867,0
00570,Roosevelt / Springfield,44.22979,-76.58866,0
00576,Acadia / Evangeline,44.23241,-76.59437,0
00578,Acadia / Sackville,44.23311,-76.59808,0
00579,Acadia / Citation,44.23512,-76.5985,0
00580,Walden / Acadia,44.23697,-76.59747,0
00581,Walden / Coverdale,44.23788,-76.59776,0
00575,Coverdale / Stoneridge,44.23726,-76.59225,0
00562,Bath / Vista,44.23715,-76.58266,0
00560,Frontenac Secondary,44.23759,-76.57724,0
00610,Development / Gardiners,44.24183,-76.56843,0
00609,Development / Justus,44.24171,-76.5726,0
00598,Development / McKay,44.24126,-76.57713,0
00553,Development / Truedell,44.24084,-76.57968,0
00628,Development / Hudson,44.24113,-76.58474,0
00737,Hudson Park,44.24373,-76.58556,0
00004,Hudson / Holgate,44.24503,-76.59236,0
00003,Bayridge Park,44.24722,-76.59402,0
00002,Hudson / Downing,44.24872,-76.59734,0
00001,1116 Hudson Dr.,44.24859,-76.59968,0
00681,Hudson / Mona,44.24849,-76.60266,0
00600,Hillside / High Gate Park,44.24739,-76.60452,0
00599,Prince Charles / Brookside,44.2471,-76.60852,0
00015,Waverley / Edwin,44.24653,-76.61123,0
00016,1346 Waverley Cr.,44.24561,-76.61348,0
S00028,1386 Waverley Cr.,44.24418,-76.61685,0
00017,Aylmer / Clark,44.24675,-76.61517,0
00105,768 Aylmer Cr.,44.24814,-76.61437,0
00014,808 Aylmer Cr.,44.24946,-76.61193,0
00013,Aylmer / Collins Bay,44.24953,-76.61085,0
00012,Mona / Woodside,44.25275,-76.60212,0
00679,Mona / Dunham,44.25336,-76.60434,0
00625,988 Mona Dr.,44.25479,-76.60654,0
00624,1036 Mona Dr.,44.25607,-76.60423,0
00623,Mona / Woodbine,44.25782,-76.60357,0
00622,Woodbine / Katharine,44.25812,-76.60031,0
00621,Holy Cross Secondary,44.25835,-76.59703,0
00604,Lancaster / Chancery,44.25623,-76.59444,0
00603,917 Lancaster Dr.,44.25642,-76.59142,0
00602,854 Lancaster Dr.,44.25457,-76.58996,0
00675,Lancaster / Bridle Path,44.25307,-76.59239,0
00601,Liston / Taylor-Kidd,44.25175,-76.59451,0
00077,Loblaws,44.26051,-76.57397,0
00649,Walmart,44.26488,-76.57402,0
00078,Midland / Cataraqui Woods,44.26865,-76.5741,0
00646,Tivoli / Sierra,44.27282,-76.57649,0
00645,Sierra / Birchwood,44.27206,-76.57829,0
00742,Birchwood / Peachwood,44.27042,-76.57856,0
S00694,Cedarwood / Cataraqui Woods,44.26656,-76.57826,0
00644,706 Cedarwood Dr.,44.26494,-76.57747,0
00653,Cedarwood / Redwood,44.26219,-76.57811,0
00655,Cedarwood / Pinewood,44.26207,-76.58057,0
00659,Cedarwood / Basswood,44.26252,-76.58306,0
