direction_name,shape_id,route_id,wheelchair_accessible,service_id,block_id,trip_headsign,trip_id,direction_id
Westbound,100.0.2162905173_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401036_Timetable_-_2026-06,Windfields Farm,898__401036_Timetable_-_2026-06,1
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401023_Timetable_-_2026-06,Windfields Farm,899__401023_Timetable_-_2026-06,1
Southbound,100.0.1046829422_Timetable_-_2026-06,405,1,Weekday_merged_94434,a_401008_Timetable_-_2026-06,Oshawa Centre Terminal,89__401008_Timetable_-_2026-06,1
Northbound,100.0.1046829277_Timetable_-_2026-06,403,1,Weekday_merged_94434,a_401008_Timetable_-_2026-06,Oshawa Centre Terminal,8__401008_Timetable_-_2026-06,0
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401036_Timetable_-_2026-06,Windfields Farm,900__401036_Timetable_-_2026-06,1
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401020_Timetable_-_2026-06,Windfields Farm,901__401020_Timetable_-_2026-06,1
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401023_Timetable_-_2026-06,Windfields Farm,902__401023_Timetable_-_2026-06,1
Eastbound,100.0.2162905171_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401020_Timetable_-_2026-06,Harmony Terminal,903__401020_Timetable_-_2026-06,0
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401023_Timetable_-_2026-06,Windfields Farm,904__401023_Timetable_-_2026-06,1
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401020_Timetable_-_2026-06,Windfields Farm,905__401020_Timetable_-_2026-06,1
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401023_Timetable_-_2026-06,Windfields Farm,906__401023_Timetable_-_2026-06,1
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401018_Timetable_-_2026-06,Windfields Farm,907__401018_Timetable_-_2026-06,1
Southbound,100.0.2242012082_Timetable_-_2026-06,409,1,Weekday_merged_94434,a_401036_Timetable_-_2026-06,Oshawa Centre Terminal,908__401036_Timetable_-_2026-06,1
Northbound,100.0.1980069561_Timetable_-_2026-06,319,1,Weekday_merged_94434,a_201088_Timetable_-_2026-06,Taunton,909__201088_Timetable_-_2026-06,0
Northbound,100.0.1046829421_Timetable_-_2026-06,405,1,Weekday_merged_94434,a_401005_Timetable_-_2026-06,Delpark Homes Centre,90__401005_Timetable_-_2026-06,0
Southbound,100.0.1980069562_Timetable_-_2026-06,319,1,Weekday_merged_94434,a_201088_Timetable_-_2026-06,Whitby Station,910__201088_Timetable_-_2026-06,1
Southbound,100.0.2273959132_Timetable_-_2026-06,901,1,Weekday_merged_94434,a_401041_Timetable_-_2026-06,A - Lakeview Park,911__401041_Timetable_-_2026-06,1
Northbound,100.0.2273959131_Timetable_-_2026-06,901,1,Overnight_merged_94433,a_491001_Timetable_-_2026-06,Windfields Farm,912__491001_Timetable_-_2026-06,0
Northbound,100.0.2273959131_Timetable_-_2026-06,901,1,Weekday_merged_94434,a_201113_Timetable_-_2026-06,Windfields Farm,913__201113_Timetable_-_2026-06,0
Northbound,100.0.2273959131_Timetable_-_2026-06,901,1,Overnight_merged_94433,a_491003_Timetable_-_2026-06,Windfields Farm,914__491003_Timetable_-_2026-06,0
Westbound,100.0.2162219571_Timetable_-_2026-06,121,1,Weekday_merged_94434,a_201036_Timetable_-_2026-06,Pickering Station,915__201036_Timetable_-_2026-06,1
Westbound,100.0.2308895431_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401038_Timetable_-_2026-06,Oshawa Station,917__401038_Timetable_-_2026-06,1
Westbound,100.0.2308895431_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401067_Timetable_-_2026-06,Oshawa Station,918__401067_Timetable_-_2026-06,1
Westbound,100.0.2308895431_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401063_Timetable_-_2026-06,Oshawa Station,919__401063_Timetable_-_2026-06,1
Southbound,100.0.1046829422_Timetable_-_2026-06,405,1,Weekday_merged_94434,a_403023_Timetable_-_2026-06,Oshawa Centre Terminal,91__403023_Timetable_-_2026-06,1
