stop_lon,stop_timezone,stop_name,stop_id,parent_station,wheelchair_boarding,zone_id,stop_code,location_type,stop_url,preferred,stop_lat,stop_desc
-78.827236,,Olive Eastbound @ Florell,1307,,1,,1307,0,,2,43.89581297,
-78.824685,,Olive Eastbound @ Dianne,1308,,1,,1308,0,,2,43.89644,
-78.821788,,Olive Eastbound @ Keewatin,1309,,1,,1309,0,,2,43.896856,
-78.798484,,Rosswell Northbound @ Bloor,1339,,1,,1339,0,,2,43.891145,
-78.873907,,Northbound @ 1185 Mary,1353,,1,,1353,0,,2,43.928625,
-78.87249799999998,,Nonquon Northbound @ Mary,1354,,1,,1354,0,,2,43.931137,
-78.87221,,Mary Northbound @ Nonquon,1355,,1,,1355,0,,2,43.93247800000001,
-78.872776,,Mary Northbound @ Taunton,1356,,1,,1356,0,,2,43.93385593,
-78.873767,,Park Southbound @ King,1359,,1,,1359,0,,2,43.895694,
-78.87290299999998,,Park Southbound @ Pine,1360,,1,,1360,0,,2,43.893793,
-78.872083,,Park Southbound @ Elmgrove,1361,,1,,1361,0,,2,43.891968,
-78.869855,,Park Southbound @ Marland,1362,,1,,1362,0,,2,43.88699031,
-78.8719904,,Park Northbound @ John,1363,,1,,1363,0,,2,43.8922679,
-78.873147,,Park Northbound @ King,1364,,1,,1364,0,,2,43.8946786,
-78.869207,,Beatrice Westbound @ Sycamore,1371,,1,,1371,0,,2,43.929548,
-78.872625,,Beatrice Westbound @ Mary,1372,,1,,1372,0,,2,43.926963,
-78.966575,,McQuay Southbound @ Roan,138,,1,,138,0,,2,43.881419,
-78.96569599999998,,McQuay Southbound @ Kennett,139,,1,,139,0,,2,43.879842,
-78.585761,,King Westbound @ Beaver,1391,,1,,1391,0,,1,43.918275,
-78.593264,,North Northbound @ Monroe,1392,,1,,1392,0,,2,43.921392,
-78.62001,,Main Southbound @ Millson Hill,1395,,1,,1395,0,,2,43.98281,
-78.617544,,Main Southbound @ Centreview,1396,,1,,1396,0,,2,43.977406,
-78.942227,,Garden Northbound @ Dryden,14,,1,,14,0,,2,43.904811,
-78.963114,,McQuay Southbound @ Moonstone,140,,1,,140,0,,2,43.878277,
-78.588888,,Mill Northbound @ King,1408,,1,,1408,0,,2,43.917763,
-78.962215,,McQuay Southbound @ Allayden,141,,1,,141,0,,2,43.876649,
-78.593093,,North Southbound @ Grady,1410,,1,,1410,0,,2,43.921133,
-78.591266,,King Westbound @ North,1411,,1,,1411,0,,2,43.916949,
-78.590838,,King Eastbound @ Baldwin,1412,,1,,1412,0,,2,43.91693200000001,
-78.59710699999998,,King Westbound @ Pedwell,1413,,1,,1413,0,,1,43.915658,
-78.597667,,King Eastbound @ Massey,1414,,1,,1414,0,,2,43.915331,
-78.60070899999998,,King Westbound @ Rudell,1415,,1,,1415,0,,2,43.914759,
-78.680784,,King Westbound @ Liberty,1430,,1,,1430,0,,2,43.910554,
-78.68621,,King Westbound @ George,1431,,1,,1431,0,,2,43.911481,
-78.688526,,King Westbound @ Temperance,1432,,1,,1432,0,,1,43.91215300000001,
-78.695055,,King Westbound @ Roenigk,1433,,1,,1433,0,,2,43.912962,
-78.71688,,Highway 2 Westbound @ Boswell,1436,,1,,1436,0,,2,43.909692,
-78.694976,,King Eastbound @ Roenigk,1452,,1,,1452,0,,2,43.912771,
-78.687321,,King Eastbound @ Division,1454,,1,,1454,0,,2,43.911662,
-78.684811,,King Eastbound @ Ontario,1455,,1,,1455,0,,2,43.911026,
-78.680907,,King Eastbound @ Liberty,1456,,1,,1456,0,,2,43.91041,
-78.697139,,Scugog Southbound @ Longworth,1476,,1,,1476,0,,2,43.924876,
