stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
25540,3084,Vodden St E w/of Lakeridge Dr,,43.713227,-79.745438,,,0,,,1
25550,3085,Vodden St E at Hwy 410,,43.712106,-79.7486,,,0,,,1
25560,3086,Vodden St E at Archdekin Dr,,43.71025,-79.750785,,,0,,,1
25570,3087,Vodden St E at Century Gardens,,43.708367,-79.752971,,,0,,,1
25580,3088,Vodden St e/of Rutherford Rd,,43.707294,-79.754216,,,0,,,1
25590,3089,Vodden St e/of Hansen Rd,,43.704412,-79.757049,,,0,,,1
25600,3090,Vodden St e/of Kennedy Rd,,43.703225,-79.758335,,,0,,,1
25610,3091,Vodden St E w/of Kennedy Rd N,,43.702127,-79.759573,,,0,,,1
25620,3092,Vodden St E at Garfield Cres (E),,43.700693,-79.761163,,,0,,,1
25640,3094,Vodden St e/of Centre St,,43.697976,-79.76414,,,0,,,1
25650,3095,Vodden St E opp Ken Whillans Dr,,43.6946,-79.767776,,,0,,,1
25700,3096,Sun Pac Blvd at Ward Rd,,43.757986,-79.696528,,,0,,,0
25710,3097,Sun Pac Blvd at Progress Crt,,43.756039,-79.693974,,,0,,,1
25720,3098,Sun Pac Blvd btwn Progress Crt & Exchange Dr,,43.754704,-79.692164,,,0,,,0
25740,3099,Sun Pac Blvd btwn Exchange Dr & Progress Crt,,43.754702,-79.69187,,,0,,,1
25750,3101,Sun Pac Blvd opp Progress Crt,,43.756488,-79.694281,,,0,,,1
25760,3102,Sun Pac Blvd opp Ward Rd,,43.758169,-79.696508,,,0,,,0
25770,3103,Sun Pac Blvd s/of Williams Pkwy,,43.760084,-79.698967,,,0,,,1
25840,3104,Mount Pleasant GO Station  Route 29/29A/215 Stop,,43.674516,-79.822201,,,0,place_MPGO,,1
25890,3106,Williams Pky W at Chinguacousy Rd,,43.681427,-79.802774,,,0,,,1
25900,3107,Williams Pky W at Withers Way,,43.682906,-79.79958,,,0,,,1
25910,3108,Williams Pky W at Oxtail Lane,,43.682919,-79.794791,,,0,,,1
25920,3109,Williams Pkwy W e/of Fletchers Creek Blvd,,43.684759,-79.790409,,,0,,,1
25950,3110,E Williams Pky W at Vodden St,,43.690693,-79.784504,,,0,,,1
25960,3111,Williams Pky W w/of Burton Park,,43.69399,-79.781027,,,0,,,1
25980,3113,Williams Pky w/of Murray St,,43.69718,-79.778918,,,0,,,0
25990,3114,Williams Pky at Main St,,43.698499,-79.777498,,,0,,,1
26000,3115,Williams Pky E at Elderwood Place,,43.701316,-79.773847,,,0,,,1
26010,3116,Williams Pky E w/of Centre St N,,43.702829,-79.7724,,,0,,,1
26020,3117,Williams Pky E btwn Centre St N & Kennedy Rd N,,43.705547,-79.76954,,,0,,,1
26030,3118,Williams Pky w/of Kennedy Rd,,43.708133,-79.766708,,,0,,,1
26040,3119,Williams Pkwy btwn Kennedy Rd & Rutherford Rd,,43.710507,-79.764108,,,0,,,1
26050,3120,Williams Pky w/of Rutherford Rd,,43.713279,-79.761063,,,0,,,1
26060,3121,Williams Pky opp Southlake Blvd,,43.714091,-79.758113,,,0,,,1
26070,3122,E Williams Pky w/of Hwy 410,,43.714062,-79.755189,,,0,,,0
26075,3123,Williams Pky E e/of Hwy 410,,43.717075,-79.749893,,,0,,,1
26080,3124,Williams Pkwy w/of Howden Blvd,,43.719957,-79.746845,,,0,,,0
26090,3125,Williams Pky E at Dixie Rd,,43.724957,-79.742608,,,0,,,1
26100,3126,Williams Pky E at Mansfield St (W),,43.726838,-79.739977,,,0,,,1
26110,3127,Williams Pky E at Mansfield St (E),,43.728486,-79.737571,,,0,,,1
26120,3128,Williams Pky E btwn Mansfield St and Mackay St S,,43.730028,-79.734691,,,0,,,1
26150,3129,Williams Pky E e/of Bramalea Rd,,43.73431,-79.72963,,,0,,,1
26155,3130,Williams Pkwy e/of Glenridge Rd,,43.73631,-79.727322,,,0,,,1
26160,3131,Williams Pky E at Grenoble Blvd,,43.738326,-79.725352,,,0,,,1
26170,3132,Williams Pky E at Graymar Rd,,43.740967,-79.723049,,,0,,,1
26180,3133,Williams Pky E at Torbram Rd,,43.743421,-79.720947,,,0,,,1
26190,3134,Williams Pky E at Bramtree Crt,,43.746015,-79.717801,,,0,,,1
26200,3135,Williams Pky E w/of Chrysler Dr,,43.748444,-79.715005,,,0,,,1
